"","Institution","Land","Variable","Zieljahr","Prognosedatum","Prognosenummer","Prognosejahr Jahr","Wert"
"1","Wifo","Österreich","BIP real",2014,2013-03-01,NA,2013,0.018
"2","Wifo","Österreich","BIP real",2014,2013-06-01,NA,2013,0.016
"3","Wifo","Österreich","BIP real",2014,2013-10-01,NA,2013,0.017
"4","Wifo","Österreich","BIP real",2014,2013-12-01,NA,2013,0.017
"5","Wifo","Österreich","BIP real",2015,2013-12-01,NA,2013,0.017
"6","Wifo","Österreich","BIP real",2015,2014-03-01,NA,2014,0.017
"7","Wifo","Österreich","BIP real",2015,2014-06-01,NA,2014,0.017
"8","Wifo","Österreich","BIP real",2015,2014-10-01,NA,2014,0.012
"9","Wifo","Österreich","BIP real",2015,2014-12-01,NA,2014,0.005
"10","Wifo","Österreich","BIP real",2016,2014-12-01,NA,2014,0.011
"11","Wifo","Österreich","BIP real",2016,2015-03-01,NA,2015,0.013
"12","Wifo","Österreich","BIP real",2016,2015-06-01,NA,2015,0.013
"13","Wifo","Österreich","BIP real",2016,2015-10-01,NA,2015,0.014
"14","Wifo","Österreich","BIP real",2016,2015-12-01,NA,2015,0.017
"15","Wifo","Österreich","BIP real",2017,2015-12-01,NA,2015,0.017
"16","Wifo","Österreich","BIP real",2017,2016-03-01,NA,2016,0.016
"17","Wifo","Österreich","BIP real",2017,2016-06-01,NA,2016,0.017
"18","Wifo","Österreich","BIP real",2017,2016-09-01,NA,2016,0.015
"19","Wifo","Österreich","BIP real",2017,2016-12-01,NA,2016,0.015
"20","Wifo","Österreich","BIP real",2018,2016-12-01,NA,2016,0.014
"21","Wifo","Österreich","BIP real",2018,2017-03-01,NA,2017,0.018
"22","Wifo","Österreich","BIP real",2018,2017-06-01,NA,2017,0.02
"23","Wifo","Österreich","BIP real",2018,2017-09-01,NA,2017,0.028
"24","Wifo","Österreich","BIP real",2018,2017-12-21,NA,2017,0.03
"25","Wifo","Österreich","BIP real",2019,2017-12-21,NA,2017,0.022
"26","Wifo","Österreich","BIP real",2018,2018-03-01,NA,2018,0.032
"27","Wifo","Österreich","BIP real",2019,2018-03-01,NA,2018,0.022
"28","Wifo","Österreich","BIP real",2018,2018-06-01,NA,2018,0.032
"29","Wifo","Österreich","BIP real",2019,2018-06-01,NA,2018,0.022
"30","Wifo","Österreich","BIP real",2018,2018-12-01,NA,2018,0.027
"31","Wifo","Österreich","BIP real",2019,2018-12-01,NA,2018,0.02
"32","Wifo","Österreich","BIP real",2020,2018-12-01,NA,2018,0.018
"33","Wifo","Österreich","BIP real",2019,2019-03-01,NA,2019,0.017
"34","Wifo","Österreich","BIP real",2020,2019-03-01,NA,2019,0.018
"35","Wifo","Österreich","BIP real",2019,2019-06-01,NA,2019,0.017
"36","Wifo","Österreich","BIP real",2020,2019-06-01,NA,2019,0.015
"37","Wifo","Österreich","BIP real",2019,2019-10-01,NA,2019,0.017
"38","Wifo","Österreich","BIP real",2020,2019-10-01,NA,2019,0.014
"39","Wifo","Österreich","BIP real",2020,2019-12-01,NA,2019,0.012
"40","Wifo","Österreich","BIP real",2021,2019-12-01,NA,2019,0.014
"41","Wifo","Österreich","BIP real",2020,2020-03-01,NA,2020,-0.025
"42","Wifo","Österreich","BIP real",2020,2020-06-01,NA,2020,-0.07
"43","Wifo","Österreich","BIP real",2021,2020-06-01,NA,2020,0.043
"44","Wifo","Österreich","BIP real",2020,2020-09-01,NA,2020,-0.068
"45","Wifo","Österreich","BIP real",2021,2020-09-01,NA,2020,0.044
"46","Wifo","Österreich","BIP real",2020,2020-12-01,NA,2020,-0.073
"47","Wifo","Österreich","BIP real",2021,2020-12-01,NA,2020,0.045
"48","Wifo","Österreich","BIP real",2022,2020-12-01,NA,2020,0.035
"49","Wifo","Österreich","BIP real",2021,2021-03-01,NA,2021,0.023
"50","Wifo","Österreich","BIP real",2022,2021-03-01,NA,2021,0.043
"51","Wifo","Österreich","BIP real",2021,2021-06-01,NA,2021,0.04
"52","Wifo","Österreich","BIP real",2022,2021-06-01,NA,2021,0.05
"53","Wifo","Österreich","BIP real",2021,2021-10-01,NA,2021,0.044
"54","Wifo","Österreich","BIP real",2022,2021-10-01,NA,2021,0.048
"55","Wifo","Österreich","BIP real",2022,2021-12-01,NA,2021,0.052
"56","Wifo","Österreich","BIP real",2023,2021-12-01,NA,2021,0.025
"57","Wifo","Österreich","BIP real",2022,2022-03-01,NA,2022,0.039
"58","Wifo","Österreich","BIP real",2023,2022-03-01,NA,2022,0.02
"59","Wifo","Österreich","BIP real",2022,2022-06-01,NA,2022,0.043
"60","Wifo","Österreich","BIP real",2023,2022-06-01,NA,2022,0.016
"61","Wifo","Österreich","BIP real",2022,2022-10-01,NA,2022,0.048
"62","Wifo","Österreich","BIP real",2023,2022-10-01,NA,2022,0.002
"63","Wifo","Österreich","BIP real",2023,2022-12-01,NA,2022,0.003
"64","Wifo","Österreich","BIP real",2024,2022-12-01,NA,2022,0.018
"65","Wifo","Österreich","BIP real",2023,2023-03-01,NA,2023,0.003
"66","Wifo","Österreich","BIP real",2024,2023-03-01,NA,2023,0.018
"67","Wifo","Österreich","BIP real",2023,2023-06-01,NA,2023,0.003
"68","Wifo","Österreich","BIP real",2024,2023-06-01,NA,2023,0.014
"69","Wifo","Österreich","BIP real",2023,2023-10-01,NA,2023,-0.008
"70","Wifo","Österreich","BIP real",2024,2023-10-01,NA,2023,0.012
"71","Wifo","Österreich","BIP real",2024,2023-12-01,NA,2023,0.009
"72","Wifo","Österreich","BIP real",2025,2023-12-01,NA,2023,0.02
"73","Wifo","Österreich","BIP real",2024,2024-03-01,NA,2024,0.002
"74","Wifo","Österreich","BIP real",2025,2024-03-01,NA,2024,0.018
"75","Wifo","Österreich","BIP real",2024,2024-06-01,NA,2024,0
"76","Wifo","Österreich","BIP real",2025,2024-06-01,NA,2024,0.015
"77","Wifo","Österreich","BIP real",2024,2024-10-01,NA,2024,-0.006
"78","Wifo","Österreich","BIP real",2025,2024-10-01,NA,2024,0.01
"79","Wifo","Österreich","BIP real",2025,2024-12-01,NA,2024,0.006
"80","Wifo","Österreich","BIP real",2025,2025-03-01,NA,2025,-0.003
"81","Wifo","Österreich","BIP real",2025,2025-06-01,NA,2025,0
